Timestamp,Accelerometer [X],Accelerometer [Y],Accelerometer [Z],Linear Accel. [X],Linear Accel. [Y],Linear Accel. [Z],Gyroscope [X],Gyroscope [Y],Gyroscope [Z],Euler [X],Euler [Y],Euler [Z],Mag [X],Mag [Y],Mag [Z]
74915,9.56,1.16,1.28,-0.05,-0.17,-0.08,-0.02,-0.01,0.02,0.5,78.69,-44.31,-15.69,21.87,11.88
75456,9.52,1.15,1.92,-0.08,-0.16,0.54,0.06,0,0,358.75,78.75,-43.69,-14.88,22.5,12.06
75994,9.59,1.49,0.97,-0.02,0.12,-0.34,0.11,-0.04,0,0.88,78.81,-46.19,-15.25,21,12.69
76534,9.56,1.36,1.6,-0.05,-0.02,0.28,0.04,0.06,-0.01,358.94,78.62,-46.38,-15.5,21.87,11.69
77080,9.62,1.39,1.24,0.02,-0.01,-0.18,-0.45,-0.08,-0.02,0.69,78.19,-44.5,-15.88,21.5,12
77621,9.88,1.37,1.3,0.24,0,0.16,0.04,-0.02,0.04,1.44,79.44,-50.25,-13.75,21.25,10.88
78162,9.68,1.48,0.84,0,0.27,-0.14,0.04,0.03,-0.04,0.81,80.81,-50.44,-15,20.06,13.56
78703,9.55,1.21,1.66,-0.08,-0.1,0.48,0.52,0.08,0.01,359.13,79.56,-48.06,-15.06,20.56,10.88
79241,9.6,1.89,0.76,0,0.52,-0.72,-0.12,-0.1,-0.01,1.37,78.06,-42.38,-14.56,19.75,12
79782,9.63,0.81,0.9,-0.03,-0.32,-0.25,0.09,0.01,0.03,359.56,80.44,-44.56,-14.88,20.06,12.56
80330,9.35,1.52,2.4,-0.28,0.27,1.06,-0.12,0.21,-0.04,358.06,79.19,-42.94,-15.38,20.5,11.06
80872,9.56,1.1,0.99,0,-0.2,-0.67,-0.08,-0.15,0.01,359.25,77.5,-38,-14.88,20.25,10.56
81410,9.3,1.19,0.94,-0.05,-0.22,-0.36,-0.02,-0.01,-0.01,1,79.37,-46,-14.19,19.69,11.06
81951,9.54,1.99,1.94,-0.06,0.57,0.63,-0.15,-0.01,-0.01,0.19,78.56,-47.13,-14.69,19.37,9.56
82491,9.52,1.33,1.37,-0.12,0.05,0.19,0.08,-0.04,-0.04,1.12,79.75,-47.38,-15.38,19.56,10.75
83032,9.58,1.33,1.15,-0.04,-0.08,0,0.1,0.02,0.03,1.88,79.31,-51,-14.25,18.75,11.56
83573,9.66,1.53,1.72,-0.04,-0.14,0.42,-0.27,-0.02,-0.01,1.94,79.37,-47.69,-15.69,19.19,10.19
84116,9.66,1.12,0.84,0,-0.15,-0.19,0.08,-0.02,0.04,1.75,80.31,-50.81,-15.06,18.87,10.88
84653,9.59,1.46,1.01,-0.07,0.22,-0.04,0.03,0.03,-0.04,2,80.37,-49.5,-15.88,19.19,10.88
85191,9.6,1.28,1.93,0,-0.11,0.61,0.12,-0.03,0.04,0.81,78.69,-46.75,-15.56,19.25,11.19
85734,9.71,1.41,0.86,0.07,0.07,-0.33,-0.01,-0.04,0,3,79.44,-48.06,-15.06,18.06,10.75
86279,9.67,0.83,0.96,-0.01,-0.27,-0.16,0.12,0.01,-0.01,2.06,80.62,-47.69,-15.69,19.5,10.38
86818,9.76,1.55,1.43,0.11,0.23,0.27,0.14,0.07,-0.01,2.56,79.62,-48.63,-14.75,18.25,9.56
87361,9.56,1.03,0.97,0.07,-0.29,-0.33,-0.04,-0.07,0.02,0.56,79,-46.31,-15.5,17.37,10.56
87902,9.57,1.5,0.99,-0.06,0.17,-0.21,0.06,0.01,-0.01,2.06,79.37,-47.88,-14.75,17.69,10.5
88438,9.56,1.49,1.62,0.02,0.02,0.37,-0.04,-0.03,0,0.5,78.75,-46.75,-15.06,18,10.5
