Euler [X]	Euler [Y]	Euler [Z]
105.31	80.62	-36.88
106.31	80.81	-38.5
106.56	81	-42.38
106.06	80.5	-39.44
105.75	81.31	-40.81
107.25	80.5	-43.5
104.69	81.19	-37.06
108.19	80.31	-44.56
107.5	81.25	-46
109.12	80.69	-51.5
107.5	81.25	-43.44
107.87	81.06	-44.44
107.87	81.19	-44.38
107.19	81.19	-42.88
107.25	81	-43
107.37	81.56	-42.75
106.75	80.81	-41.5
106.94	81.5	-40.81
106	80.75	-38.88
106.69	81.19	-39.75
105.94	80.75	-38.5
106.44	80.94	-39.13
106.25	80.87	-39.13
106.25	80.94	-39.25
105.87	80.94	-38
106.06	81.12	-37.75
105.87	80.69	-36.69
106.12	80.94	-38
106.06	80.69	-36.75
106.25	80.94	-38.38
106.25	80.69	-37.75
106.5	80.87	-38.5
106	80.75	-36.56
106	80.62	-36.81
106.12	80.75	-36.88
105.87	80.62	-35.38
106	80.62	-35.25
105.69	80.56	-33.75
105.94	80.75	-35.81
106	80.5	-34.81
105.87	80.5	-34.25
107.5	80.87	-36.94
106.5	81.06	-38.06
107.69	80.37	-39
107.87	81.69	-41.94
108.5	80.69	-42.06
107.75	81.5	-39.56
108.37	80.75	-41.06
108.62	81.31	-41.31
109.25	81.19	-42.75
108.5	81.19	-40.94
107.75	81	-39.69
107.94	80.94	-40.06
109.37	81.12	-40.88
109	81.44	-47.19
109.19	80.87	-42
108.5	81.19	-42.25
109.12	80.56	-41.63
107.06	81.12	-38.56
109.94	80.19	-40.56
108.06	81.06	-39.69
109.12	80.25	-44.56
107.62	81	-39.13
108.94	80.62	-41.69
108.87	81	-41.56
109.25	80.81	-41.69
108.06	80.75	-40.06
108.19	80.37	-39.94
128.06	74.12	17.5
195.31	67.69	111.81
52.13	67.12	-69.5
307.38	66.12	-164.31
298	65.75	-168.31
26.37	61.81	-98.94
98.19	58.56	-11.81
141.75	61.19	52.25
185.06	62.63	107
205.19	62.44	126.44
191.5	61.44	115.94
153.38	59.06	73.69
115.56	54.88	18.25
69.37	52.94	-56.38
317.69	55.69	-158.13
152	53.5	79.44
79.81	48.44	-46.94
255.44	51.63	166.13
108.75	45.13	3.19
306.44	46.69	-170.19
111.37	40.38	6
285.63	41.75	177
97.75	35.13	-28.44
166	35.75	118.75
70	30.31	-98.5
115.5	26	29.69
281.19	25.06	154.94
87.87	17.94	-85.12
110.62	13	27.69
281.56	10.75	138.5
96.94	3.81	-113.5
104.75	-2.94	-9.25
97.5	-6.13	96.87
279.25	-10.81	-156.63
102.5	-25.62	-64.25
174.13	-48.56	100.75
294.94	-4.56	53.81
178.81	-57	-63.38
336.06	-41.06	-172.06
219.69	-33.06	-142.44
344.69	28.56	168.06
346.5	-23.5	178.69
328.38	48	-62.63
113.25	-4.88	-5.31
139.94	-18.06	-75.94
278.69	-20.37	155
44.06	22.81	-67.44
42.5	-13.25	-127.56
217.06	11.94	145.13
39.31	-46.44	-178.5
232.31	40.5	-145.5
132.56	-28	-145.63
15.25	-72.56	-151.81
63.81	-45.38	140.25
100.62	18.12	63.88
145.94	65.62	2.44
303.38	4.5	52.88
272.88	-19.37	125.25
86.62	-31.94	-132.19
321.13	-34.31	-162.5
92.25	-9.63	77.56
210.56	-19.06	-64
120.81	-12.13	18.75
285.06	-21.44	117.94
154.31	-48.81	164.44
344.75	-54.81	75.31
135.69	-60.13	111.25
90.69	-17.06	144.63
108.56	-31.69	58.5
253.19	1.12	92.94
211.63	-68.06	-127.81
123.94	-31.75	-131.25
2.69	-50.69	61
15.13	-20.37	80.62
328.94	37	57.38
65.94	32.56	-129.75
139.63	-73.19	-149.06
144.44	-56.63	-64.25
125.87	-66.69	88.31
237.94	-43	-79.62
260.44	2.94	37.31
276.25	-1.37	-6.69
173.56	-24.19	-171.69
37.13	-36.25	-134.44
107.94	-53.88	-161.31
312.56	-63.94	-178.88
288.13	-50.25	-90.94
148.56	40.69	77.87
263.38	-50.38	-69
231.06	-6.69	-6.19
162.06	-36.69	156.63
252.13	-23.5	-128.75
322	-14	-161.5
167.56	-4.81	48.31
66.62	-27.06	42
3.81	-42.56	6.06
55.69	-73.5	-119.62
323.31	18.19	41.63
287.81	-23.37	-76.37
239.5	2.44	92.5
262.38	-22.5	89.44
183.38	-24.69	-156.19
97.25	-55.94	-131.69
139.69	20.81	-139.56
54.19	21.44	-33.63
95.81	45.5	-12.88
144.5	-17.44	-41.06
132.19	-12.44	-30.5
221.31	6.56	-159.13
119.69	-24.62	108.25
224.44	-63.19	1.06
52.81	-9.5	-175.69
237.31	15.19	-107.5
83.37	-22.31	-149.25
17.31	12.19	-83.56
138.5	-29.12	-127.06
74.37	-70.69	23.62
75.94	-49.88	138.25
165.5	-30.44	101.06
117.19	37.56	-110.44
348.13	14.31	98.94
12.63	-18.19	1.12
93.44	-31.37	41
145.94	-41.69	-83.87
140	-51.19	-89.06
93	-4.31	-87.75
240.25	66.87	-13.94
354.19	-2.31	56.56
354.19	29.5	33
179.94	-22.31	102.44
204.31	12.25	34.38
244.38	9.5	66.87
200.19	-14.69	-10.25
122.5	34.63	124.94
318.5	-1.94	-20.12
15.13	-0.94	-16.25
357.31	-36.38	-35.25
293.94	-40.31	-99.62
61.19	-11.75	-158.44
113.56	26.5	-135.06
55.81	-36.06	120.12
335.94	-13.38	25.62
256.19	-39.38	141.69
106.69	-30.37	-160.38
61.44	22.87	147.25
340.63	-47.25	13.94
281.56	-32.19	-92.44
304.63	-60.5	-91.62
114.81	-72.06	135.25
